thesis_id,rank,neighbor_id,cosine_similarity
2596339142,2,2723372603,0.87
2596339142,3,2723372603,0.87
2596339142,4,2451028890,0.8611
2596339142,5,2451028890,0.8611
2596339142,6,2692166325,0.8493
2596339142,7,2708036284,0.8266
2596339142,8,2708036284,0.8266
2596339142,9,2871579263,0.8262
2596339142,10,2710382040,0.8012
2692210959,1,2713252431,0.7877
2692210959,2,2595911653,0.7472
2692210959,3,2712838291,0.7364
2692210959,4,2712838291,0.7364
2692210959,5,2712838291,0.7364
2692210959,6,2872572102,0.7315
2692210959,7,2872572102,0.7315
2692210959,8,2596188738,0.7188
2692210959,9,2727903519,0.7171
2692210959,10,2727903519,0.7171
2692166323,1,2727253499,0.869
2692166323,2,2714344379,0.8247
2692166323,3,2714344379,0.8247
2692166323,4,2714344379,0.8247
2692166323,5,2693243179,0.8194
2692166323,6,2868477962,0.7677
2692166323,7,2874216403,0.7606
2692166323,8,2874216403,0.7606
2692166323,9,2448497055,0.7585
2692166323,10,2448497055,0.7585
2692142159,1,2726481013,0.8458
2692142159,2,2726481013,0.8458
2692142159,3,2726481013,0.8458
2692142159,4,2723191375,0.8422
2692142159,5,2856861525,0.8237
2692142159,6,2869492271,0.7834
2692142159,7,2597735924,0.7659
2692142159,8,2726960779,0.7516
2692142159,9,2451153157,0.7429
2692142159,10,2621489978,0.7394
2716532539,1,2727978250,0.9007
2716532539,2,2727978250,0.9007
2716532539,3,2727978250,0.9007
2716532539,4,2706416025,0.8998
2716532539,5,2706416025,0.8998
2716532539,6,2451028633,0.8934
2716532539,7,2451028633,0.8934
2716532539,8,2665996692,0.8858
2716532539,9,2665996692,0.8858
2716532539,10,2665996692,0.8858
2739670893,1,2712718153,0.7816
2739670893,2,2453337522,0.7606
2739670893,3,2612396571,0.7578
2739670893,4,2463602593,0.7454
2739670893,5,2463602593,0.7454
2739670893,6,2693203594,0.7451
2739670893,7,2713316508,0.74
2739670893,8,2692804509,0.7351
2739670893,9,2692804509,0.7351
2739670893,10,2452682707,0.7271
2450921667,1,2691742847,0.9237
2450921667,2,2691742847,0.9237
2450921667,3,2691742847,0.9237
2450921667,4,2739276774,0.878
2450921667,5,2739276774,0.878
