thesis_id,cluster_id,isolation_forest_anomaly,dist_to_centroid
2718306003,114,0.0029,0.438
2727333170,-1,0.0029,0.7188
2872046936,114,0.0029,0.4623
2872555287,82,0.0029,0.4306
2735955575,-1,0.0029,0.6486
2693468616,-1,0.0027,0.5886
2870613165,115,0.0027,0.5188
2739316976,-1,0.0026,0.6542
2738564718,108,0.0026,0.4522
2712470336,-1,0.0026,0.6189
2739316976,-1,0.0026,0.6542
2739316976,-1,0.0026,0.6542
2737949238,105,0.0025,0.4027
2621490021,-1,0.0025,0.603
2621490021,-1,0.0025,0.603
2713518827,79,0.0024,0.3928
2713518827,79,0.0024,0.3928
2713518827,79,0.0024,0.3928
2692075800,18,0.0023,0.4821
2728437624,14,0.0022,0.52
2728437624,14,0.0022,0.52
2737836298,12,0.0021,0.5282
2712912862,-1,0.0021,0.653
2870003887,98,0.002,0.4694
2736918857,79,0.0019,0.3446
2728755038,96,0.0016,0.3546
2448497055,5,0.0016,0.368
2448497055,5,0.0016,0.368
2738343066,114,0.0015,0.441
2691159557,-1,0.0015,0.6963
2727248731,68,0.0015,0.538
2691159557,-1,0.0015,0.6963
2727248731,68,0.0015,0.538
2712806187,114,0.0015,0.5151
2494993775,23,0.0015,0.6727
2870200790,114,0.0012,0.4814
2728030091,14,0.0011,0.6096
2708092389,-1,0.001,0.715
2692726041,50,0.001,0.453
2713463396,10,0.001,0.2981
2708092389,-1,0.001,0.715
2708092389,-1,0.001,0.715
2713463396,10,0.001,0.2981
2713463396,10,0.001,0.2981
2496728118,98,0.0009,0.4185
2873922182,56,0.0009,0.3956
2873922182,56,0.0009,0.3956
2727253564,-1,0.0009,0.6265
2489514646,114,0.0009,0.5127
2739844691,14,0.0009,0.6202
2873922182,56,0.0009,0.3956
2496728118,98,0.0009,0.4185
2877417167,40,0.0008,0.4596
2872572133,114,0.0008,0.4578
2868548133,-1,0.0006,0.6589
2738587567,68,0.0006,0.5092
2738587567,68,0.0006,0.5092
2691679817,14,0.0004,0.5419
2727365797,7,0.0004,0.2049
2691679817,14,0.0004,0.5419
2727365797,7,0.0004,0.2049
2691679817,14,0.0004,0.5419
2874454792,98,0.0003,0.5604
2872477682,-1,0.0003,0.6502
2873965873,56,0.0002,0.3948
2873965873,56,0.0002,0.3948
2679238940,-1,0.0002,0.6781
2727821607,14,0.0001,0.5625
2868126163,43,0.0001,0.4624
